,id,title,requirement_id,preconditions,steps,expected_result,priority,test_type
10,TC-REQ3-001,Successful password reset via valid email,REQ-3,User has a registered account with a valid email address. User is on the login page.,"Navigate to the login page,Click on 'Forgot Password' link,Enter a valid registered email address,Click 'Send Reset Link' button,Open the email inbox and locate the password reset email,Click the password reset link in the email,Enter a new valid password and confirm it,Click 'Reset Password' button",Password is successfully reset. User receives a confirmation message and is able to log in with the new password.,High,functional
11,TC-REQ3-002,Password reset attempt with unregistered email,REQ-3,User is on the 'Forgot Password' page.,"Navigate to the 'Forgot Password' page,Enter an email address that is not registered in the system,Click 'Send Reset Link' button",System displays an appropriate error message such as 'Email address not found' and does not send a reset email.,High,negative
12,TC-REQ3-003,Password reset with an invalid email format,REQ-3,User is on the 'Forgot Password' page.,"Navigate to the 'Forgot Password' page,Enter a malformed email address (e.g., 'user@' or 'notanemail'),Click 'Send Reset Link' button",System displays a validation error indicating the email format is invalid and does not proceed with sending a reset link.,High,negative
13,TC-REQ3-004,Password reset link expiry boundary check,REQ-3,"User has received a valid password reset email. The reset link has a defined expiry time (e.g., 60 minutes).","Navigate to the 'Forgot Password' page,Enter a valid registered email address and click 'Send Reset Link',Wait until the reset link is exactly at its expiry threshold (e.g., 60 minutes),Click the password reset link from the email,Attempt to enter and submit a new password",System rejects the expired reset link and displays a message such as 'This link has expired. Please request a new password reset.',High,boundary
14,TC-REQ3-005,Password reset link can only be used once,REQ-3,User has successfully reset their password using a reset link received via email.,"Complete a successful password reset using the emailed link,Attempt to click the same password reset link again,Observe the system response",System rejects the reuse of the already-used reset link and displays an appropriate message such as 'This reset link is no longer valid.',Medium,security
15,TC-4-001,Successful password reset via valid email,REQ-4,User has a registered and verified account with a valid email address. User is on the login page.,"Navigate to the login page,Click on 'Forgot Password' link,Enter a valid registered email address,Click 'Send Reset Link' button,Open the email inbox and locate the password reset email,Click on the password reset link in the email,Enter a new valid password and confirm it,Click 'Reset Password' button,Attempt to log in with the new password","User receives a password reset email, is able to set a new password successfully, and can log in with the new credentials. Old password no longer works.",High,functional
16,TC-4-002,Password reset request with unregistered email,REQ-4,User is on the 'Forgot Password' page. The email address to be used does not exist in the system.,"Navigate to the 'Forgot Password' page,Enter an email address that is not registered in the system,Click 'Send Reset Link' button,Check the inbox of the unregistered email address for any reset email","The system displays a generic confirmation message (e.g., 'If this email is registered, a reset link will be sent') to prevent user enumeration. No password reset email is sent to the unregistered address.",High,negative
17,TC-4-003,Password reset link expiry boundary check,REQ-4,"User has requested a password reset and received the reset email. The system has a defined token expiry period (e.g., 60 minutes).","Request a password reset for a registered email,Wait until the reset link is exactly at expiry time (e.g., 60 minutes),Click the password reset link immediately at the boundary,Attempt to click the same link 1 minute after the expiry period,Enter a new password and submit on the expired link","The link is valid exactly at the expiry boundary (60 minutes) and allows password reset. After the expiry period (61 minutes), the link is rejected with an appropriate error message such as 'This link has expired. Please request a new one.'",High,boundary
18,TC-4-004,Password reset link cannot be reused after successful reset,REQ-4,User has successfully reset their password using a valid reset link.,"Complete a successful password reset using the emailed link,Copy and store the used password reset link URL,Attempt to open the used reset link again in the browser,Try to submit a new password using the already-used link",The system rejects the already-used reset link and displays an error message such as 'This reset link has already been used or is invalid.' No password change is made.,High,security
19,TC-4-005,Password reset with invalid email format,REQ-4,User is on the 'Forgot Password' page.,"Navigate to the 'Forgot Password' page,Enter an invalid email format (e.g., 'userexample.com', 'user@', '@example.com', 'plaintext'),Click 'Send Reset Link' button for each invalid format","The system displays an inline validation error message (e.g., 'Please enter a valid email address') for each invalid email format and does not submit the request or send any email.",Medium,negative
20,TC-001,Successful user registration with valid email and password,REQ-001,The user is not already registered in the system. The registration page is accessible.,"Navigate to the registration page,Enter a valid email address (e.g., newuser@example.com),Enter a valid password that meets system requirements (e.g., Password@123),Confirm the password in the confirm password field,Click the 'Register' button","The user is successfully registered, a confirmation message is displayed, and a verification/welcome email is sent to the provided email address.",High,functional
21,TC-002,Registration attempt with an already registered email address,REQ-001,An account with the email address 'existing@example.com' already exists in the system.,"Navigate to the registration page,Enter the already registered email address (e.g., existing@example.com),Enter a valid password (e.g., Password@123),Confirm the password,Click the 'Register' button",The system displays an appropriate error message indicating that the email address is already in use and registration is not completed.,High,negative
22,TC-003,Registration attempt with an invalid email format,REQ-001,The registration page is accessible.,"Navigate to the registration page,Enter an invalid email format (e.g., 'notanemail', 'user@', '@domain.com'),Enter a valid password (e.g., Password@123),Confirm the password,Click the 'Register' button",The system displays a validation error indicating that the email address format is invalid and does not proceed with registration.,High,negative
23,TC-004,Registration with a password at the minimum allowed length boundary,REQ-001,"The registration page is accessible and the system requires a minimum password length (e.g., 8 characters).","Navigate to the registration page,Enter a valid new email address (e.g., boundaryuser@example.com),Enter a password exactly at the minimum allowed length (e.g., 8 characters: 'Pass@123'),Confirm the password,Click the 'Register' button","The user is successfully registered with the minimum-length password, and a confirmation message or email is sent.",Medium,boundary
24,TC-005,Registration attempt with an empty email and/or password field,REQ-001,The registration page is accessible.,"Navigate to the registration page,Leave the email address field empty,Leave the password field empty,Click the 'Register' button","The system displays validation error messages for both the email and password fields indicating they are required, and registration is not completed.",High,negative
25,TC-001,Valid password meeting all requirements,REQ-002,User is on the password creation or reset page,"Navigate to the password creation or reset form,Enter a password that is at least 8 characters long, contains at least one number and one special character (e.g., 'Secure1!'),Submit the form",Password is accepted and the user account is created or updated successfully,High,functional
26,TC-002,Password shorter than 8 characters is rejected,REQ-002,User is on the password creation or reset page,"Navigate to the password creation or reset form,Enter a password that is fewer than 8 characters (e.g., 'Ab1!'),Submit the form",System displays an error message indicating the password must be at least 8 characters long and does not save the password,High,negative
27,TC-003,Password missing a number is rejected,REQ-002,User is on the password creation or reset page,"Navigate to the password creation or reset form,Enter a password that is at least 8 characters and contains a special character but no number (e.g., 'Password!'),Submit the form",System displays an error message indicating the password must contain at least one number and does not save the password,High,negative
28,TC-004,Password missing a special character is rejected,REQ-002,User is on the password creation or reset page,"Navigate to the password creation or reset form,Enter a password that is at least 8 characters and contains a number but no special character (e.g., 'Password1'),Submit the form",System displays an error message indicating the password must contain at least one special character and does not save the password,High,negative
29,TC-005,Password of exactly 8 characters with required complexity is accepted,REQ-002,User is on the password creation or reset page,"Navigate to the password creation or reset form,Enter a password that is exactly 8 characters long and contains at least one number and one special character (e.g., 'Pass1!ab'),Submit the form","Password is accepted as valid and the account is created or updated successfully, confirming the boundary value of 8 characters is inclusive",High,boundary
30,TC-001,Verify that a verification email with a unique link is sent upon password reset request,REQ-003,User has a registered account with a valid email address. User has initiated a password reset request.,"Navigate to the password reset page,Enter a valid registered email address,Click the 'Send Reset Email' button,Open the email inbox for the registered email address,Check for the received verification email",A verification email is received containing a unique reset link. The link is functional and redirects the user to the password reset page.,High,functional
31,TC-002,Verify that the verification link expires after 24 hours,REQ-003,User has a registered account with a valid email address. A password reset email has been sent and the verification link has been received. System clock or test environment supports time simulation.,"Trigger a password reset request for a registered user,Receive the verification email and copy the unique link,Advance the system time or wait until 24 hours and 1 minute have elapsed since the email was issued,Open the copied verification link in a browser,Observe the system response",The system displays an error message indicating the link has expired and does not allow the user to reset their password using this link.,High,boundary
32,TC-003,Verify that the verification link is still valid just before the 24-hour expiry,REQ-003,User has a registered account with a valid email address. A password reset email has been sent. System clock or test environment supports time simulation.,"Trigger a password reset request for a registered user,Receive the verification email and copy the unique link,Advance the system time to 23 hours and 59 minutes after the email was issued,Open the copied verification link in a browser,Attempt to reset the password using the link",The verification link is still valid and the user is able to successfully access the password reset page and change their password.,High,boundary
33,TC-004,Verify that each password reset request generates a unique verification link,REQ-003,User has a registered account with a valid email address.,"Navigate to the password reset page,Enter a valid registered email address and submit the reset request,Record the unique link received in the first verification email,Submit a second password reset request for the same email address,Record the unique link received in the second verification email,Compare the two links",Both verification links are different (unique). The first link is invalidated upon issuance of the second link or independently unique per request.,High,functional
34,TC-005,Verify that an already-used verification link cannot be reused,REQ-003,User has a registered account with a valid email address. A password reset email has been sent and the link has not yet expired.,"Trigger a password reset request and receive the verification email,Open the verification link and successfully reset the password,Attempt to open the same verification link again in a browser","The system displays an error message indicating the link is invalid or has already been used, and does not allow another password reset via this link.",High,negative
35,TC-001,Successful login with valid email and password,REQ-004,User is registered in the system with a verified email address and a known password. The user is on the login page.,"Navigate to the login page,Enter a valid registered email address in the email field,Enter the correct password in the password field,Click the 'Login' button",User is successfully authenticated and redirected to the application dashboard or home page.,High,functional
36,TC-002,Login attempt with invalid password,REQ-004,User is registered in the system. The user is on the login page.,"Navigate to the login page,Enter a valid registered email address in the email field,Enter an incorrect password in the password field,Click the 'Login' button","Login is denied. An appropriate error message is displayed (e.g., 'Invalid email or password'). The user remains on the login page.",High,negative
37,TC-003,Login attempt with unregistered email address,REQ-004,The user is on the login page. The email address to be used does not exist in the system.,"Navigate to the login page,Enter an email address that is not registered in the system,Enter any password in the password field,Click the 'Login' button","Login is denied. A generic error message is displayed (e.g., 'Invalid email or password') without revealing whether the email exists. The user remains on the login page.",High,negative
38,TC-004,Login attempt with empty email and password fields,REQ-004,The user is on the login page.,"Navigate to the login page,Leave the email field empty,Leave the password field empty,Click the 'Login' button",Login is not submitted. Validation error messages are displayed for both the email and password fields indicating they are required. The user remains on the login page.,Medium,boundary
39,TC-005,Login attempt using SQL injection in email field,REQ-004,The user is on the login page.,"Navigate to the login page,Enter a SQL injection string in the email field (e.g., ""' OR '1'='1'; --""),Enter any value in the password field,Click the 'Login' button",Login is denied. The system sanitizes the input and does not execute any unintended SQL commands. An appropriate error message is displayed and no unauthorized access is granted.,High,security
40,TC-001,Account locks after exactly 5 consecutive failed login attempts,REQ-005,User account exists and is currently unlocked. User has a valid username.,"Navigate to the login page,Enter valid username and an incorrect password,Click the 'Login' button,Repeat steps 2-3 four more times (total of 5 failed attempts),Observe the system response after the 5th failed attempt,Attempt to log in with the correct password immediately after","After the 5th consecutive failed login attempt, the account is locked. A message is displayed informing the user that the account has been locked for 15 minutes. Login with correct credentials is denied during the lockout period.",High,functional
41,TC-002,Account remains accessible after 4 consecutive failed login attempts,REQ-005,User account exists and is currently unlocked. User has a valid username and password.,"Navigate to the login page,Enter valid username and an incorrect password,Click the 'Login' button,Repeat steps 2-3 three more times (total of 4 failed attempts),Enter the valid username and correct password,Click the 'Login' button","After 4 consecutive failed attempts the account is NOT locked. On the 5th attempt with correct credentials, the user is successfully logged in and the failed attempt counter is reset.",High,boundary
42,TC-003,Account unlocks automatically after 15-minute lockout period,REQ-005,User account has been locked due to 5 consecutive failed login attempts. Lockout start time is recorded.,"Confirm the account is locked by attempting to log in with correct credentials immediately after lockout,Wait exactly 15 minutes from the time the account was locked,Navigate to the login page,Enter the valid username and correct password,Click the 'Login' button","After exactly 15 minutes have elapsed, the account is automatically unlocked. The user can successfully log in with valid credentials. No manual intervention is required.",High,functional
43,TC-004,Login attempt with correct credentials before 15-minute lockout expires is rejected,REQ-005,User account has just been locked due to 5 consecutive failed login attempts.,"Wait 14 minutes and 50 seconds after the account lockout begins,Navigate to the login page,Enter valid username and correct password,Click the 'Login' button,Observe the system response",The login attempt is denied. A message informs the user that the account is still locked and indicates the remaining lockout duration. The account remains locked until the full 15 minutes have passed.,High,boundary
44,TC-005,Failed login attempt counter resets after a successful login,REQ-005,User account exists and is unlocked. User has valid credentials.,"Navigate to the login page,Enter valid username and an incorrect password and click 'Login' — repeat 3 times,Enter the valid username and correct password and click 'Login' to successfully log in,Log out of the account,Enter valid username and an incorrect password and click 'Login' — repeat 3 more times,Verify the account is not locked after this second set of failed attempts,Enter valid username and an incorrect password 2 more times to reach 5 total in the new session,Observe the system response on the 5th failed attempt in the new session",Successful login in step 3 resets the failed attempt counter to zero. A fresh sequence of 5 consecutive failed attempts is required to trigger a new lockout. The account is locked only after 5 consecutive failures in the second sequence.,Medium,functional
45,TC-REQ10-001,Successful password reset via valid registered email,REQ-10,User has a registered and verified email account in the system. User is on the login page.,"Navigate to the login page,Click on 'Forgot Password' link,Enter a valid registered email address,Click 'Send Reset Link' button,Open the registered email inbox,Click the password reset link received in the email,Enter a new valid password,Confirm the new password,Click 'Reset Password' button,Attempt to log in with the new password","User receives a password reset email, successfully resets the password, and can log in with the new password. Old password no longer works.",High,functional
46,TC-REQ10-002,Password reset attempt with unregistered email address,REQ-10,User is on the 'Forgot Password' page. The email address to be used does not exist in the system.,"Navigate to the 'Forgot Password' page,Enter an email address that is not registered in the system,Click 'Send Reset Link' button,Check the entered email inbox for any reset email","System displays a generic message such as 'If this email is registered, you will receive a reset link' without revealing whether the email exists. No reset email is sent to the unregistered address.",High,negative
47,TC-REQ10-003,Password reset link expiry boundary check,REQ-10,"User has requested a password reset and received a reset link via email. The system has a defined token expiry time (e.g., 60 minutes).","Request a password reset for a valid registered email,Wait until the reset link is just at the boundary of expiry (e.g., exactly 60 minutes),Click the password reset link in the email,Attempt to enter and submit a new password","If accessed at exactly the expiry boundary, the system should reject the token and display an 'expired link' or 'invalid token' error message, prompting the user to request a new reset link.",High,boundary
48,TC-REQ10-004,Password reset with invalid email format,REQ-10,User is on the 'Forgot Password' page.,"Navigate to the 'Forgot Password' page,Enter an invalidly formatted email address (e.g., 'user@', 'userexample.com', 'user @example.com'),Click 'Send Reset Link' button",System displays a validation error indicating the email format is invalid and does not attempt to send a reset email.,Medium,negative
49,TC-REQ10-005,Password reset link cannot be reused after successful reset,REQ-10,User has already successfully reset their password using a valid reset link received via email.,"Complete a successful password reset using the emailed reset link,Re-open or copy and re-navigate to the same password reset link,Attempt to submit a new password using the already-used link",System rejects the previously used reset link and displays an error such as 'This reset link has already been used or is invalid.' User is prompted to request a new reset link.,High,security
50,TC-REQ11-001,Successfully invite a new team member by email,REQ-009,User is logged in as an organization administrator. The organization has an active account. The email address to be invited is not already associated with the organization.,"Log in as an organization administrator.,Navigate to the 'Team Members' or 'Invite Members' section.,Click on the 'Invite Member' button.,Enter a valid email address (e.g., newmember@example.com) in the invitation field.,Click the 'Send Invitation' button.",The system sends an invitation email to the specified address. A success confirmation message is displayed. The invited email appears in the 'Pending Invitations' list.,High,functional
51,TC-REQ11-002,Non-admin user cannot invite team members,REQ-009,User is logged in as a regular (non-admin) team member of the organization.,"Log in as a regular (non-admin) organization member.,Attempt to navigate to the 'Team Members' or 'Invite Members' section.,Attempt to access the 'Invite Member' functionality directly via URL if the UI option is not visible.","The invite member option is not visible or accessible to non-admin users. Any direct URL access returns an authorization error (e.g., 403 Forbidden). No invitation is sent.",High,security
52,TC-REQ11-003,Invite team member with an invalid email format,REQ-009,User is logged in as an organization administrator.,"Log in as an organization administrator.,Navigate to the 'Invite Members' section.,Click on the 'Invite Member' button.,Enter an invalid email address (e.g., 'notanemail', 'user@', '@domain.com').,Click the 'Send Invitation' button.",The system displays a validation error message indicating that the email address format is invalid. No invitation email is sent.,High,negative
53,TC-REQ11-004,Invite a team member who is already part of the organization,REQ-009,User is logged in as an organization administrator. The email address to be invited is already an active member of the organization.,"Log in as an organization administrator.,Navigate to the 'Invite Members' section.,Click on the 'Invite Member' button.,Enter the email address of an existing active member of the organization.,Click the 'Send Invitation' button.",The system displays an error or warning message indicating that the user is already a member of the organization. No duplicate invitation or membership is created.,Medium,negative
54,TC-REQ11-005,Invite team member with an empty email field,REQ-009,User is logged in as an organization administrator.,"Log in as an organization administrator.,Navigate to the 'Invite Members' section.,Click on the 'Invite Member' button.,Leave the email address field completely empty.,Click the 'Send Invitation' button.",The system displays a validation error message indicating that the email field is required and cannot be empty. No invitation is sent.,Medium,boundary
55,TC-REQ010-001,Verify Administrator role has full system permissions,REQ-010,A user account with Administrator role exists and is active in the system.,"Log in with Administrator credentials.,Navigate to user management section.,Attempt to create a new user.,Attempt to delete an existing user.,Attempt to modify system settings.,Attempt to view all projects and contributors.","Administrator can successfully perform all actions: create/delete users, modify system settings, and view all projects and contributors without any permission errors.",High,functional
56,TC-REQ010-002,Verify Project Manager role has project-scoped permissions only,REQ-010,A user account with Project Manager role exists and is active. At least one project is assigned to this Project Manager.,"Log in with Project Manager credentials.,Navigate to the assigned project and attempt to create/edit tasks.,Attempt to add or remove Contributors from the assigned project.,Attempt to access system administration settings.,Attempt to manage another Project Manager's project.",Project Manager can create/edit tasks and manage Contributors within their own project. Accessing system administration settings and managing other Project Managers' projects should be denied with an appropriate 'Access Denied' message.,High,functional
57,TC-REQ010-003,Verify Contributor role is restricted to read and contribution actions only,REQ-010,A user account with Contributor role exists and is assigned to at least one project.,"Log in with Contributor credentials.,Navigate to the assigned project and attempt to view tasks.,Attempt to update the status of an assigned task.,Attempt to delete a task.,Attempt to access user management or system settings.,Attempt to create a new project.","Contributor can view tasks and update status of assigned tasks. Deleting tasks, accessing user management, system settings, and creating new projects should be denied with an appropriate 'Access Denied' message.",High,functional
58,TC-REQ010-004,Verify that a Contributor cannot escalate their own role to Administrator,REQ-010,A user account with Contributor role exists. The system API or UI for role management is accessible.,"Log in with Contributor credentials.,Attempt to access the role management API endpoint directly (e.g., via HTTP request) to change own role to 'Administrator'.,Attempt to navigate to any admin UI page to modify own profile role.,Verify the role remains 'Contributor' after all attempts.",All attempts to escalate the role are rejected with a 403 Forbidden or equivalent error. The user's role remains 'Contributor' in the system.,High,security
59,TC-REQ010-005,Verify system behavior when a user has no assigned role,REQ-010,A user account exists in the system with no role assigned (role field is null or empty).,"Attempt to log in with the role-less user account.,If login is permitted, attempt to access project list.,Attempt to access user management.,Attempt to view system settings.","The system either prevents login for a role-less user with a clear error message, or if login is permitted, all protected resources return 'Access Denied'. The system does not default to any elevated permissions.",Medium,boundary
60,TC-REQ011-001,Administrator successfully deactivates an active user account,REQ-011,Administrator is logged in with valid admin credentials. A target user account exists and is currently active.,"Log in as Administrator.,Navigate to the User Management section.,Search for and select an active user account.,Click the 'Deactivate Account' button.,Confirm the deactivation action in the confirmation dialog.,Verify the user account status is updated to 'Inactive'.",The user account is marked as 'Inactive' and a success confirmation message is displayed to the Administrator.,High,functional
61,TC-REQ011-002,Deactivated user's access is revoked immediately upon deactivation,REQ-011,Administrator is logged in. The target user is currently logged in with an active session. The target user account is active.,"Log in as Administrator in one browser session.,Ensure the target user is logged in and has an active session in a separate browser session.,As Administrator, navigate to User Management and locate the target user.,Deactivate the target user's account and confirm the action.,Immediately switch to the target user's session and attempt to perform any action (e.g., navigate to a protected page or make an API request).,Observe the response received by the target user.",The target user's session is immediately invalidated. The user is either redirected to the login page or receives an 'Access Denied / Account Deactivated' message without any delay.,High,functional
62,TC-REQ011-003,Non-administrator user attempts to deactivate a user account,REQ-011,"A non-administrator user (e.g., regular user or moderator) is logged in. At least one other active user account exists in the system.","Log in as a non-administrator user.,Attempt to navigate directly to the User Management section via URL or menu.,Attempt to call the deactivate user API endpoint directly with a valid user ID.,Observe the system response.",The system denies access and returns a '403 Forbidden' or 'Unauthorized Access' error. The target user account remains active and unaffected.,High,negative
63,TC-REQ011-004,Administrator attempts to deactivate an already deactivated user account,REQ-011,Administrator is logged in. A user account already in 'Inactive' status exists in the system.,"Log in as Administrator.,Navigate to the User Management section.,Search for and select a user account that is already in 'Inactive' status.,Attempt to click the 'Deactivate Account' button or trigger the deactivation action.,Observe the system response.",The system displays an appropriate informational message such as 'Account is already deactivated' and does not perform any duplicate deactivation action. No errors or system crashes occur.,Medium,boundary
64,TC-REQ011-005,Administrator attempts to deactivate a non-existent user account via API,REQ-011,Administrator is authenticated and has a valid session token. A user ID that does not exist in the system is known.,"Log in as Administrator and obtain a valid session token.,Construct a deactivation API request using a non-existent or invalid user ID (e.g., ID: 999999 or a randomly generated UUID).,Send the API request to the deactivate user endpoint.,Observe the HTTP status code and response body.",The system returns a '404 Not Found' error with an appropriate error message such as 'User not found'. No unintended side effects or system errors occur.,Medium,negative
65,TC-REQ12-001,"Successfully update all profile fields (display name, avatar, time zone)",REQ-012,User is logged in with a valid account. Profile page is accessible.,"Navigate to the user profile settings page.,Enter a new valid display name (e.g., 'John Doe').,Upload a valid avatar image (e.g., JPEG, under 2MB).,Select a valid time zone from the dropdown (e.g., 'UTC+05:30 Asia/Kolkata').,Click the 'Save' or 'Update Profile' button.,Verify the profile page reflects the updated information.","All three fields (display name, avatar image, and time zone) are saved successfully. A success confirmation message is displayed and the profile page shows the updated values.",High,functional
66,TC-REQ12-002,Update only the display name leaving other fields unchanged,REQ-012,User is logged in. Profile already has an existing avatar and time zone set.,"Navigate to the user profile settings page.,Clear the current display name field and enter a new display name (e.g., 'Jane Smith').,Leave the avatar image and time zone fields unchanged.,Click the 'Save' or 'Update Profile' button.,Verify the profile page reflects the updated display name.,Verify the avatar and time zone remain unchanged.",Only the display name is updated. Avatar and time zone retain their previous values. A success confirmation message is displayed.,Medium,functional
67,TC-REQ12-003,Attempt to update display name with an empty string,REQ-012,User is logged in. Profile page is accessible with an existing display name.,"Navigate to the user profile settings page.,Clear the display name field completely leaving it blank.,Click the 'Save' or 'Update Profile' button.,Observe the system response.",The system displays a validation error message indicating that the display name cannot be empty. The profile is not updated and the previous display name is preserved.,High,negative
68,TC-REQ12-004,Attempt to upload an invalid avatar image format,REQ-012,User is logged in. Profile page is accessible.,"Navigate to the user profile settings page.,Attempt to upload a file with an unsupported format (e.g., a .exe or .pdf file) as the avatar image.,Click the 'Save' or 'Update Profile' button.,Observe the system response.","The system rejects the file and displays an appropriate error message indicating that only supported image formats (e.g., JPEG, PNG) are allowed. The profile avatar is not updated.",High,negative
69,TC-REQ12-005,Update display name with maximum allowed character length,REQ-012,User is logged in. The system has a defined maximum character limit for display name (assumed 50 characters).,"Navigate to the user profile settings page.,Enter a display name exactly at the maximum allowed character limit (e.g., a 50-character string).,Click the 'Save' or 'Update Profile' button.,Observe the system response.,Then repeat the test entering a display name that exceeds the maximum limit by one character (51 characters).,Click the 'Save' or 'Update Profile' button again.,Observe the system response.",A display name at the exact maximum limit (50 characters) is accepted and saved successfully. A display name exceeding the limit (51 characters) is rejected with a validation error message indicating the character limit has been exceeded.,Medium,boundary
70,TC-001,Administrator successfully creates a new user,REQ-013,Administrator is logged into the system with valid admin credentials. The user management module is accessible.,"Navigate to the User Management section from the admin dashboard.,Click on 'Add New User' button.,Fill in all required fields: First Name, Last Name, Email, Role.,Click 'Save' or 'Create User' button.,Verify the new user appears in the user list.",The new user is successfully created and appears in the user list. A confirmation message is displayed. The process completes within 3 clicks from the dashboard.,High,functional
71,TC-002,Administrator successfully resets a user's password via email,REQ-013,Administrator is logged in. A target user account exists in the system with a valid email address.,"Navigate to the User Management section.,Locate the target user via search or user list.,Click on the user's profile or options menu.,Select 'Reset Password' option.,Confirm the password reset action.,Verify the system sends a reset email to the user's registered email address.",The system triggers a password reset email to the user's registered email. A success confirmation is shown to the administrator. The user receives an email with a valid reset link.,High,functional
72,TC-003,Administrator attempts to create a user with an already registered email,REQ-013,Administrator is logged in. A user with the email 'existing@example.com' already exists in the system.,"Navigate to the User Management section.,Click on 'Add New User'.,Enter 'existing@example.com' in the email field.,Fill in all other required fields.,Click 'Save' or 'Create User'.","The system displays a clear, intuitive error message indicating the email is already in use. No duplicate user is created. The form remains populated so the administrator can correct the entry without re-entering all data.",High,negative
73,TC-004,Administrator attempts to create a user with missing required fields,REQ-013,Administrator is logged in and on the 'Add New User' form.,"Navigate to the User Management section.,Click on 'Add New User'.,Leave one or more required fields (e.g., Email, Role) blank.,Click 'Save' or 'Create User'.",The system prevents user creation and highlights the missing required fields with descriptive inline validation messages. No incomplete user record is saved.,Medium,negative
