,id,title,requirement_id,preconditions,steps,expected_result,priority,rationale
22,EC-REQ002-003,Password containing only numbers and special characters with no alphabetic characters,REQ-002,User is on the password creation or reset form.,"Enter a password of 8+ characters containing only digits and special characters and no letters (e.g., '12345!@#'),Submit the password form","The system should evaluate whether its policy requires alphabetic characters. If no alphabetic requirement exists, the password should be accepted since it meets length, number, and special character requirements. The result should be consistent with documented policy.",Medium,"The requirement only specifies a number and a special character but does not explicitly require letters. A password of all digits and symbols technically meets the stated criteria. This edge case verifies that validation logic does not silently enforce undocumented requirements, ensuring alignment between spec and implementation."
23,EC-REQ002-004,Null or empty string submitted as password,REQ-002,User is on the password creation or reset form. The form can be submitted programmatically or via API to bypass front-end validation.,"Submit a null value or an empty string as the password via direct API call (bypassing front-end required field validation),Observe the system response","The system should return a clear validation error indicating the password does not meet minimum requirements, without throwing an unhandled exception, 500 error, or exposing internal system details.",High,"Null and empty inputs are classic failure-injection scenarios. Even if front-end validation blocks empty passwords, API-level submission of null/empty values must be handled gracefully by the back end to prevent system crashes, data corruption, or security information leakage."
24,EC-REQ003-001,Verify behavior when verification link is accessed at exactly the 24-hour boundary (T+24:00:00),REQ-003,A verification email has been issued. The system clock is controllable or mockable. The link has not been used.,"Request a password reset to trigger a verification email,Record the exact timestamp of link issuance,Advance the system clock to exactly T+24:00:00 (to the second of issuance),Attempt to use the verification link at the exact expiry moment","The link is treated as expired at exactly T+24:00:00 and the system rejects it with an appropriate 'link expired' error message, confirming the boundary is inclusive (expires at, not after, 24 hours).",High,"The existing test only checks 'after 24 hours' and 'just before' expiry, but does not test the exact boundary second. Off-by-one or inclusive/exclusive boundary logic errors are common and could leave a security gap or falsely reject valid links."
25,EC-REQ003-002,Verify that a second password reset request invalidates the previously issued unexpired link,REQ-003,A user account exists. No pending verification links are present.,"Submit a password reset request for the user account — note Link A is issued,Without using Link A, submit a second password reset request for the same account — note Link B is issued,Attempt to use Link A (the first, still within 24-hour window),Attempt to use Link B (the second link)","Link A is invalidated upon issuance of Link B and returns an appropriate error (e.g., 'link no longer valid'). Link B is accepted and allows password reset. Only one active link per user should be valid at any time.",High,"Multiple outstanding valid links for the same account represent a security risk. This scenario is not covered by existing tests, which only verify uniqueness and single-use but not mutual invalidation upon re-request."
26,EC-REQ003-003,Verify system behavior when the verification link is malformed or tampered with,REQ-003,A valid verification email has been issued and the link token is known.,"Request a password reset and receive the verification email,Extract the unique token from the link,Modify the token by altering one character (e.g., increment last character),Submit the tampered link to the verification endpoint,Also attempt submitting a completely empty or null token value to the endpoint",The system rejects the tampered link with an error such as 'invalid or unrecognized link' without revealing whether a valid token exists. An empty/null token submission returns a 400 Bad Request or equivalent error. No account access is granted.,High,Tampered and empty tokens are not covered by existing tests. This is a critical security edge case to prevent token enumeration or brute-force attacks against the verification endpoint.
27,EC-REQ003-004,Verify verification link behavior when the associated user account is deleted or deactivated after link issuance,REQ-003,"A user account exists and is active. A valid, unexpired verification link has been issued for that account.","Request a password reset for an active user account — a verification link is issued,Deactivate or delete the user account before the link is used,Attempt to use the verification link within the 24-hour window",The system detects that the associated account no longer exists or is inactive and rejects the link with an appropriate error. No password reset is performed and no sensitive information about the account state is leaked.,Medium,Existing tests assume the account remains valid for the link lifetime. Account deletion or deactivation between link issuance and use is an unhandled edge case that could cause unexpected system behavior or expose account state information.
28,EC-REQ004-001,Login attempt with email address exceeding maximum length boundary,REQ-004,System is operational. A registered user account exists with a valid email and password.,"Navigate to the login page,Enter an email address that exceeds the maximum allowed length (e.g., 255+ characters) in the email field,Enter a valid password in the password field,Click the login/submit button","The system should reject the input gracefully with an appropriate validation error message (e.g., 'Email address is too long') without crashing, exposing stack traces, or causing unexpected behavior.",Medium,"Boundary value testing on input length is not covered by existing tests. Oversized inputs can cause buffer overflows, database errors, or unexpected system behavior if not properly validated."
29,EC-REQ004-002,Login attempt with correct credentials after multiple consecutive failed login attempts (account lockout),REQ-004,"System is operational. A registered user account exists. The system has a configured account lockout policy (e.g., after 5 failed attempts).","Navigate to the login page,Attempt to log in with the registered email and an incorrect password repeatedly until the lockout threshold is reached (e.g., 5 times),Observe whether the account is locked,Attempt to log in using the correct email and correct password after the lockout is triggered","After exceeding the failed login threshold, the account should be temporarily locked and the user should NOT be able to log in even with correct credentials. An appropriate message (e.g., 'Account temporarily locked. Please try again later or reset your password.') should be displayed.",High,Brute-force attack prevention is a critical security concern not covered by existing tests. The system must enforce lockout policies to prevent unauthorized access via credential stuffing or brute-force attacks.
30,EC-REQ004-003,Login attempt with email containing mixed-case characters (case sensitivity check),REQ-004,A registered user account exists with the email 'User@Example.COM' (or any mixed-case email). The user knows their correct password.,"Navigate to the login page,Enter the registered email in all lowercase (e.g., 'user@example.com') in the email field,Enter the correct password,Click the login/submit button,Repeat the test entering the email in all uppercase (e.g., 'USER@EXAMPLE.COM'),Repeat the test entering the email with random mixed case (e.g., 'uSeR@eXaMpLe.CoM')","The system should treat email addresses as case-insensitive per RFC 5321 standards and allow successful login regardless of the case used in the email field, as long as the password is correct.",Medium,Email case sensitivity is a common edge case not covered by existing tests. Inconsistent case handling can lock users out of their accounts or cause duplicate account issues.
31,EC-REQ004-004,Login attempt using a valid session token after the user has reset their password,REQ-004,A registered user is currently logged in with an active session token. The user initiates a password reset via email (as described in the related context requirement) and successfully changes their password.,"Log in as a registered user and capture/note the active session token,Initiate and complete a password reset flow via email to change the account password,Attempt to access the system or perform an action using the previously captured (old) session token,Alternatively, attempt to log in using the old password after the reset","All previously active sessions and tokens should be invalidated upon a successful password reset. Attempts to use old session tokens should be rejected with an authentication error (e.g., redirect to login page). Login using the old password should also fail.",High,Session invalidation after a password reset is a critical security edge case not covered by existing tests. Failure to invalidate old sessions after a password change can allow unauthorized parties who previously obtained a session token to maintain access.
32,EC-REQ9-001,Failed attempt counter behavior when lockout period expires without successful login,REQ-005,User account exists. User has triggered account lockout with 5 consecutive failed attempts. The 15-minute lockout period has just elapsed.,"Perform 5 consecutive failed login attempts to lock the account,Wait for the 15-minute lockout period to expire,Perform 4 additional failed login attempts,Verify the failed attempt counter state,Perform 1 more failed login attempt (5th since unlock),Check whether the account is locked again","After the lockout period expires, the failed attempt counter resets to 0. The account is re-locked after 5 new consecutive failed attempts post-unlock, not after fewer attempts carrying over from before the lockout.",High,"It is ambiguous whether the counter resets upon lockout expiry or only upon successful login. A residual counter after unlock could incorrectly lock the account in fewer than 5 attempts, violating the requirement."
33,EC-REQ9-002,Concurrent simultaneous failed login attempts race condition at the 5th attempt boundary,REQ-005,User account exists and is unlocked. The failed attempt counter is at 4 (one attempt away from lockout).,"Perform 4 consecutive failed login attempts to bring the counter to 4,Simultaneously fire 3 concurrent failed login requests for the same account using parallel threads or API calls,Observe whether the account is locked exactly once, multiple times, or enters an inconsistent state,Attempt a login after the concurrent requests complete and verify account status","The system handles concurrent requests atomically. The account is locked exactly once after the 5th failed attempt, with no race condition causing the counter to be incremented incorrectly, bypassed, or resulting in duplicate lockout events.",High,"Concurrent login attempts at the lockout boundary can expose race conditions in counter increment logic, potentially allowing more than 5 failed attempts before locking or causing undefined account states."
34,EC-REQ9-003,Failed attempt counter does not reset after a failed password reset flow,REQ-005,User account exists. User has accumulated 3 consecutive failed login attempts. Password reset via email feature is available per related context.,"Perform 3 consecutive failed login attempts,Initiate a password reset request via email without completing the full reset,Abandon the password reset flow (e.g., do not click the email link),Perform 2 more failed login attempts,Verify whether the account is now locked","An incomplete or abandoned password reset flow does not reset the failed login attempt counter. The account is locked after the 5th cumulative consecutive failed login attempt, preserving the count from before the reset attempt.",Medium,"A user could exploit an incomplete password reset to artificially clear the failed attempt counter and evade account lockout, bypassing the brute-force protection mechanism."
35,EC-REQ9-004,Lockout duration boundary — login attempt at exactly 15 minutes (boundary precision),REQ-005,User account is locked due to 5 consecutive failed login attempts. A mechanism to measure time elapsed since lockout is available.,"Record the exact timestamp when the account is locked,Attempt to login with correct credentials at exactly 14 minutes and 59 seconds after lockout,Verify the attempt is rejected,Attempt to login with correct credentials at exactly 15 minutes and 0 seconds after lockout,Verify the outcome of this boundary attempt","Login is rejected at 14 minutes 59 seconds. At exactly 15 minutes, the account is unlocked and a login with correct credentials succeeds. The system must not have off-by-one timing errors (e.g., unlocking at 14:59 or remaining locked beyond 15:00).",Medium,"The exact 15-minute boundary is a classic off-by-one timing edge case. Imprecise timer implementations (e.g., rounding, truncation, clock drift) could unlock accounts early or keep them locked longer than specified."
36,EC-10-001,Password reset with empty/blank email field,REQ-10,User is on the password reset page and the email input field is visible,"Navigate to the password reset page,Leave the email field completely empty,Click the 'Reset Password' or 'Submit' button,Repeat the test with a whitespace-only input (e.g., spaces or tabs)",The system should display a validation error indicating that the email field is required and must not be empty or blank. No reset email should be dispatched and no server-side processing should occur.,High,"Empty or whitespace-only inputs are a fundamental boundary condition not covered by existing tests. Failing to handle this could cause unhandled exceptions, unnecessary server calls, or security information leakage."
37,EC-10-002,Password reset link used concurrently in multiple sessions simultaneously,REQ-10,"A valid, unused password reset link has been generated and is within its expiry window. Two separate browser sessions or clients are available.","Generate a password reset link for a registered user,Open the reset link simultaneously in two different browser sessions or HTTP clients,Submit a new password in both sessions at approximately the same time (within milliseconds),Observe which session succeeds and whether the second session is properly rejected","Only one password reset should succeed. The second concurrent attempt should be rejected with an appropriate error (e.g., 'link already used' or 'token invalid'). No race condition should allow both resets to complete or leave the account in an inconsistent state.",High,"Concurrent use of the same reset token is a concurrency edge case not addressed by existing tests. A race condition here could allow token reuse or result in unpredictable account state, posing a security risk."
38,EC-10-003,Password reset requested multiple times in rapid succession for the same account,REQ-10,A registered user account exists. The user has access to the password reset page.,"Submit a password reset request for a valid registered email,Without waiting, immediately submit another password reset request for the same email,Submit a third reset request in rapid succession,Check the user's inbox for multiple reset emails,Attempt to use the first-issued reset link after newer links have been generated","The system should either invalidate all previously issued tokens when a new request is made (making only the latest link valid), or apply rate limiting to prevent abuse. Earlier reset links should not remain valid once superseded. The user should receive clear guidance if rate limiting is enforced.",High,"Multiple rapid reset requests for the same account are not covered by existing tests. This could lead to token flooding attacks, inbox spam, or old tokens remaining valid alongside new ones, which is a security vulnerability."
39,EC-10-004,Password reset email contains special characters or is an internationalized (IDN) email address,REQ-10,"The system has a registered account using an email address with special characters or an internationalized domain (e.g., user+tag@example.com, üser@münchen.de, or user@xn--mnchen-3ya.de).","Navigate to the password reset page,Enter a registered email address containing a '+' tag (e.g., user+alias@example.com),Submit the reset request and verify a reset email is received,Repeat with an email address using an internationalized domain name (IDN),Attempt to complete the reset flow end-to-end for each variant",The system should correctly handle valid but non-standard email formats such as tagged addresses and IDN domains. A reset email should be sent and the full reset flow should complete successfully without errors or silent failures.,Medium,"Existing invalid-format tests cover clearly malformed emails, but do not cover valid edge-case formats like tagged addresses or internationalized domains. Mishandling these could block legitimate users from resetting their passwords."
40,EC-REQ11-001,Invite team member with an email address at maximum allowed length,REQ-009,"User is logged in as an organization administrator. The system has a defined maximum email length (e.g., 254 characters per RFC 5321).","Log in as an organization administrator.,Navigate to the 'Invite Team Member' feature.,Enter an email address exactly at the maximum allowed length (e.g., 254 characters total, with a valid format such as 'aaa...aaa@domain.com').,Submit the invitation.","The system successfully sends the invitation to the maximum-length email address without truncation or error, and a confirmation message is displayed.",Medium,"Boundary value at the maximum email length is not covered by existing tests. Emails at the RFC-defined limit may cause buffer overflows, truncation, or silent failures in some implementations."
41,EC-REQ11-002,Invite team member with an email domain that does not exist or fails DNS resolution,REQ-009,"User is logged in as an organization administrator. Network is available but the target email domain (e.g., 'user@nonexistentdomain12345xyz.com') has no DNS record.","Log in as an organization administrator.,Navigate to the 'Invite Team Member' feature.,Enter a syntactically valid email address with a non-existent domain (e.g., 'testuser@nonexistentdomain12345xyz.com').,Submit the invitation.,Observe the system response immediately and after any async processing.","The system either validates the domain at submission time and displays an appropriate error, or queues the invitation and notifies the admin of delivery failure, without crashing or silently discarding the invite.",High,A syntactically valid but undeliverable email address bypasses format validation. This edge case tests whether the system handles delivery failures gracefully and communicates them to the administrator.
42,EC-REQ11-003,Rapid duplicate invitation submissions by admin (concurrent/double-click scenario),REQ-009,"User is logged in as an organization administrator. A valid, uninvited email address is available.","Log in as an organization administrator.,Navigate to the 'Invite Team Member' feature.,Enter a valid, uninvited email address.,Click or trigger the 'Send Invitation' action multiple times in rapid succession (simulating a double-click or concurrent API calls).,Observe the number of invitation emails received and system state.","Only one invitation is sent to the target email address. The system prevents duplicate invitations from being created due to rapid repeated submissions, and the admin receives a single confirmation.",High,"Concurrency and double-submission are not covered by existing tests. Without idempotency controls, rapid resubmission could flood the invitee with duplicate emails or create duplicate pending invite records."
43,EC-REQ11-004,Invite a user whose email matches an existing pending (unaccepted) invitation,REQ-009,User is logged in as an organization administrator. A prior invitation has been sent to 'pendinguser@example.com' but has not yet been accepted or expired.,"Log in as an organization administrator.,Navigate to the 'Invite Team Member' feature.,Enter the email address 'pendinguser@example.com' that already has a pending invitation.,Submit the invitation.,Observe the system response and check whether a new invitation token is generated.","The system informs the administrator that an invitation is already pending for this email. It either blocks the duplicate invite or provides an option to resend/replace the existing invitation, without creating conflicting invitation tokens.",Medium,"Existing tests cover re-inviting a user who is already a full member, but not one with a pending invite. This scenario could result in multiple valid invitation tokens, security issues, or confusion for the invitee."
44,EC-001,Verify behavior when a user is simultaneously assigned multiple conflicting roles,REQ-010,A user account exists in the system and can be assigned roles by an Administrator,"Log in as Administrator,Navigate to user management for a specific user,Assign both 'Contributor' and 'Project Manager' roles to the same user simultaneously,Save the role assignments,Log in as that user,Attempt to perform actions exclusive to Administrator, Project Manager, and Contributor roles respectively","The system should either prevent assigning conflicting/multiple roles or apply a well-defined precedence rule (e.g., least privileged or highest privilege wins). The resulting effective permissions should be deterministic and documented, with no permission bleed between roles.",High,"When a user holds multiple roles, permission conflicts can arise, leading to unintended privilege escalation or denial of legitimate access. This scenario is not covered by existing tests which only verify single-role assignments."
45,EC-002,Verify that a Project Manager cannot grant themselves or another user Administrator-level permissions,REQ-010,A Project Manager account and a Contributor account exist in the system,"Log in as a Project Manager,Navigate to user management or role assignment settings,Attempt to elevate own role to Administrator,Attempt to assign Administrator role to the Contributor account,Attempt to modify permissions of the Administrator role definition",All privilege escalation attempts by the Project Manager should be denied with an appropriate authorization error. No role changes should persist in the system.,High,Existing tests only verify that a Contributor cannot self-escalate. The Project Manager role — having broader permissions than a Contributor — presents a higher-risk vector for horizontal or vertical privilege escalation that is not yet tested.
46,EC-003,Verify permissions remain enforced after a role is downgraded mid-session,REQ-010,A user is actively logged in with Project Manager role; an Administrator account exists,"Log in as the target user with Project Manager role and start a session,In a separate Administrator session, downgrade the target user's role to Contributor,Without logging out, attempt to perform a Project Manager-exclusive action in the target user's active session,Also attempt to access a previously accessible project management page via direct URL","The system should enforce the updated role in real-time or upon the next permission check, denying the downgraded user access to Project Manager-exclusive actions even within the same session. Cached permissions should not allow continued access.",High,Role changes applied during an active session may not be enforced if permissions are cached at login. This session-persistence edge case could lead to unauthorized access and is not covered by any existing tests.
47,EC-004,Verify system behavior when a role definition is deleted while users are still assigned to it,REQ-010,A custom or standard role has active users assigned to it; Administrator account is available,"Log in as Administrator,Identify a role (e.g., Project Manager) that has at least one active user assigned,Attempt to delete or deactivate the role from the system,Observe what happens to currently assigned users,Attempt to log in as a user who was assigned the deleted role,Check what permissions that user has after the role deletion","The system should either prevent deletion of a role with active assignments and show a meaningful error, or safely reassign affected users to a default/no-role state with a notification. Users previously assigned the deleted role must not retain any stale permissions or fall back to an undefined privileged state.",Medium,Deleting a role while users are assigned to it is a boundary condition that can cause orphaned permission states or security gaps. This scenario is entirely absent from existing tests and could result in unpredictable access control behavior.
