,requirement_id,description,category,severity
68,REQ-015,"No acceptance criteria are defined for what constitutes a valid 'add' or 'remove' operation. There is no specification of what happens to tasks assigned to a removed member, whether removal is soft or hard, or whether any confirmation step is required.",missing_acceptance_criteria,High
69,REQ-015,"'Team members' is ambiguous — it is unclear whether this refers only to users already registered in the organization, users with specific roles (e.g., Contributors only), or any arbitrary user. The permissible scope of membership is undefined.",ambiguity,High
70,REQ-015,"There is a potential conflict with REQ-010 and REQ-011: if an Administrator has distinct permissions, it is unclear whether a Project Manager can add/remove members of any role including other Project Managers or Administrators, or whether role-based restrictions apply.",conflict,High
71,REQ-015,"No notification or audit requirements are defined for add/remove actions. It is unclear whether affected users or administrators should be notified when membership changes occur, creating a gap relative to the notification features described in scope.",missing_acceptance_criteria,Medium
72,REQ-015,There is no defined behavior for removing the last remaining Project Manager from a project. This edge case could leave a project in an unmanageable state and needs explicit handling criteria.,missing_acceptance_criteria,Medium
73,REQ-015,"No security constraints are specified regarding whether a Project Manager can only manage members of their own assigned projects or across all projects in the organization, representing a potential privilege escalation gap.",security_gap,High
74,REQ-015,"The requirement does not specify the outcome for open or in-progress tasks belonging to a removed team member — e.g., whether tasks are unassigned, reassigned automatically, or blocked. This makes the behavior untestable for those scenarios.",untestable,Medium
75,REQ-016,"The term 'default project list' is ambiguous. It is unclear what constitutes the 'default' view, whether this means all listing contexts (search results, dashboards, reports, API responses) or only a specific main project list screen, and whether archived projects appear in non-default views.",ambiguity,High
76,REQ-016,"No acceptance criteria define which user roles are permitted to archive a project. It is unknown whether Contributors, Project Managers, or only Administrators can perform this action.",missing_acceptance_criteria,High
77,REQ-016,"There are no acceptance criteria specifying how or whether an archived project can be unarchived (restored), who can restore it, or what state the project returns to after restoration.",missing_acceptance_criteria,High
78,REQ-016,"The requirement does not specify how archived projects behave in search results, reports, and third-party integrations. It is untestable whether 'hidden from the default project list' extends to these surfaces.",untestable,High
79,REQ-016,"There is no acceptance criterion defining whether tasks, comments, file attachments, and associated data within an archived project remain fully accessible, read-only, or restricted in some way after archiving.",missing_acceptance_criteria,High
80,REQ-016,"The requirement does not address whether team members currently assigned to tasks within an archived project receive notifications, can still be mentioned, or retain any active relationship to the project, creating a potential conflict with REQ-011 (deactivation) and role-permission requirements in REQ-010.",conflict,Medium
81,REQ-016,"There is no specification of whether a dedicated 'archived projects' view must exist, making the discoverability and recoverability of archived projects untestable.",untestable,Medium
82,REQ-016,"No security or audit requirements are defined for the archive action, such as logging who archived a project and when, creating a security gap for accountability and compliance.",security_gap,Medium
83,REQ-016,"The requirement does not state whether archiving a project is reversible or permanent, nor define any time-based data retention or deletion policy for archived project data.",missing_acceptance_criteria,Medium
84,REQ-016,"The requirement ID stated in the document header is 'REQ-19' while the body text references 'REQ-016', creating an identifier conflict that makes traceability and test mapping unreliable.",conflict,Low
85,REQ-017,The requirement does not specify how the system should handle the case where start date and end date are set to the same day. It is unclear whether start date equal to end date is valid or should also be prevented.,ambiguity,Medium
86,REQ-017,"No acceptance criteria are defined for how the validation is triggered (e.g., on form submission, on field blur, in real-time), what error message or UI feedback is presented to the user, or whether the system should reject the save entirely or warn and allow override.",missing_acceptance_criteria,High
87,REQ-017,"The requirement does not specify which user roles are permitted to set or modify project dates, making it impossible to test enforcement in the context of role-based permissions defined in REQ-010.",missing_acceptance_criteria,Medium
88,REQ-017,"The requirement does not address what should happen when an existing project's start date is changed to be later than an already-set end date, or vice versa during an edit operation, leaving the update-flow behavior undefined.",ambiguity,Medium
89,REQ-017,"There is no specification of how time zones (referenced in REQ-012) affect date comparison. A start date and end date entered by users in different time zones could yield ambiguous results, creating a potential conflict with REQ-012.",conflict,High
90,REQ-017,"The requirement does not define whether enforcement occurs only on the client side, only on the server side, or on both. Without this, test coverage boundaries cannot be established and a client-side-only implementation would represent a security/integrity gap.",security_gap,High
91,REQ-017,"The requirement does not specify behavior when dates are provided via API or bulk import rather than through the UI, leaving a gap in how the constraint is enforced across all entry points.",missing_acceptance_criteria,Medium
92,REQ-21/REQ-018,"The requirement ID is inconsistently labeled as both 'REQ-21' and 'REQ-018' in the same statement. This numbering conflict makes traceability unreliable and creates confusion about which requirement is being referenced in test cases, change requests, or defect reports.",conflict,High
93,REQ-018,"The term 'task list' is ambiguous. It is unclear whether this means only the top-level tasks, or also subtasks, task hierarchies, dependencies, and nested structures. The scope of what constitutes the 'task list' must be explicitly defined.",ambiguity,High
94,REQ-018,"There are no acceptance criteria defining what state the duplicated tasks should be in. For example, should task assignees, due dates, statuses, priorities, and custom fields be copied or reset to defaults? Without this, testers cannot determine pass/fail.",missing_acceptance_criteria,High
95,REQ-018,"The requirement does not specify what name or identifier the duplicated project should receive. It is untestable whether the naming convention (e.g., 'Copy of [Project Name]', a user-prompted name, or auto-generated) is correct without a defined expected outcome.",untestable,Medium
96,REQ-018,"There is no acceptance criteria defining the success or failure behavior when the duplication process fails mid-way (e.g., partial copy due to a system error). It is unclear whether a rollback should occur or a partial duplicate is acceptable.",missing_acceptance_criteria,High
97,REQ-018,"The requirement does not address whether task assignees from the original project are carried over to the duplicated project. If the duplicated project is for a different team, copying assignees could introduce incorrect permissions or data exposure.",security_gap,Medium
98,REQ-018,It is ambiguous whether 'excluding attachments' applies only to project-level attachments or also to task-level attachments within the task list. This could lead to inconsistent implementation and test interpretation.,ambiguity,Medium
99,REQ-018,"There is no defined acceptance criterion for performance or completion time of the duplication operation, especially for large projects with many tasks. Without this, it is untestable whether the feature meets user experience expectations.",missing_acceptance_criteria,Low
100,REQ-018,"The requirement does not clarify whether only a Project Manager who owns or has access to the original project can duplicate it, or whether any Project Manager in the organization can duplicate any project. This is a potential access control gap.",security_gap,High
101,REQ-018,"There is no specification of what happens to project-level metadata such as project status, start date, end date, budget fields, or tags during duplication. Missing criteria make it impossible to fully validate the duplicated project's state.",missing_acceptance_criteria,Medium
102,REQ-23/REQ-019,"The requirement ID is self-contradictory: the enclosing label is 'REQ-23' but the requirement text references 'REQ-019'. It is unclear which identifier is canonical, making traceability to test cases, defects, and other requirements unreliable.",ambiguity,High
103,REQ-019,"The requirement states the system 'shall allow a Contributor' to create a task, but REQ-010 establishes three roles (Administrator, Project Manager, Contributor) with distinct permissions. It is unspecified whether Administrators and Project Managers are also permitted to create tasks, creating a potential conflict or gap in role-based access control.",conflict,High
104,REQ-019,"No acceptance criteria are defined for what constitutes a valid or invalid task creation attempt. Missing criteria include: maximum/minimum length for title and description fields, acceptable date formats and range constraints for the due date (e.g., must be a future date), whether all four fields are mandatory or optional, and what error messages or system responses are expected on invalid input.",missing_acceptance_criteria,High
105,REQ-019,"The 'assignee' field is ambiguous: it is unclear whether the assignee must be a member of the same project, whether multiple assignees are allowed, whether assigning to oneself is permitted, and what happens if the assignee's account is deactivated (as per REQ-011) after assignment.",ambiguity,High
106,REQ-019,"There is no acceptance criterion specifying the system's response after a task is successfully created (e.g., confirmation message, redirection to task detail page, notification to the assignee). Without this, post-creation behavior cannot be verified.",missing_acceptance_criteria,Medium
107,REQ-019,The requirement does not specify whether a Contributor can create a task in any project or only in projects they are a member of. This is a security gap that could allow unauthorized task creation in projects the Contributor has no membership in.,security_gap,High
108,REQ-019,"The due date field lacks a definition of valid formats, time zone handling, or whether time-of-day precision is required. Given REQ-012 supports per-user time zone settings, it is untestable whether due dates are stored and displayed consistently across users in different time zones.",untestable,Medium
109,REQ-019,"There is no specification of the minimum required fields for task creation. It cannot be determined whether the system should enforce all four fields (title, description, due date, assignee) as mandatory or allow task creation with only a subset, making pass/fail criteria for validation tests undefined.",missing_acceptance_criteria,Medium
110,REQ-24/REQ-020,"The requirement ID is malformed — it is labeled both 'REQ-24' and 'REQ-020', creating a traceability conflict. It is unclear which ID is canonical, making it impossible to reliably reference or track this requirement across documentation, test cases, and change requests.",ambiguity,High
111,REQ-020,"The phrase 'at a time' is ambiguous. It is unclear whether this means (a) only one user can be the active assignee at any given moment but history of reassignments is permitted, (b) the system must prevent concurrent assignment updates, or (c) a task can never have more than one assignee in any state. Each interpretation requires a different implementation and test approach.",ambiguity,High
112,REQ-020,"No acceptance criteria are defined for what happens when an attempt is made to assign a task that is already assigned to another user. The requirement does not specify whether the system should warn the assigner, require confirmation, automatically unassign the previous user, or reject the operation.",missing_acceptance_criteria,High
113,REQ-020,"The requirement does not specify which roles (Administrator, Project Manager, Contributor as defined in REQ-010) are permitted to assign or reassign a task. Without role-based constraints, this requirement is incomplete and potentially conflicts with the role permission model introduced in REQ-010.",missing_acceptance_criteria,High
114,REQ-020,"There is a potential conflict with REQ-010, which states that the three roles each have 'distinct permissions'. If a Contributor is not permitted to assign tasks but this requirement says 'the system shall allow a task to be assigned', it is unclear who the actor is, creating a permission model conflict.",conflict,Medium
115,REQ-020,The requirement does not address whether a task can exist in an unassigned state. It is unclear if assignment to exactly one user is enforced at task creation time or only after an initial assignment is made. This gap makes edge-case test scenarios untestable.,missing_acceptance_criteria,Medium
116,REQ-020,"The requirement does not specify behavior when the assigned user is deactivated (as covered by REQ-011). It is unclear whether the task becomes unassigned, is automatically reassigned, or remains linked to the deactivated account, creating a traceability and coverage gap.",missing_acceptance_criteria,Medium
117,REQ-020,"The requirement does not define whether 'exactly one user' must be a member of the same project or organization, or whether any registered user in the system is a valid assignee. This omission is a security gap that could allow tasks to be assigned to users outside the intended project team, potentially exposing project data.",security_gap,Medium
118,REQ-020,"No notification or audit trail behavior is specified for assignment or reassignment events. It is untestable whether the system correctly communicates an assignment change to the newly assigned user or logs the change, as no expected outcome is defined.",untestable,Low
119,REQ-25/REQ-021,"The requirement ID itself is malformed and ambiguous: the outer identifier is REQ-25 while the inner content references REQ-021. It is unclear which ID is canonical, creating traceability and versioning confusion across the SRS.",ambiguity,High
120,REQ-021,"No acceptance criteria are defined for the four task statuses. There is no specification of valid status transitions (e.g., can a task move directly from 'To Do' to 'Done'?), who is permitted to change status, or whether any workflow rules or guards apply between states.",missing_acceptance_criteria,High
121,REQ-021,The requirement does not define whether these four statuses are the only permitted statuses or whether the list is extensible. It is untestable whether a future addition of a custom status would constitute compliance or a violation.,untestable,Medium
122,REQ-021,"'Support' is ambiguous language. It is unclear whether the system must enforce these statuses as the only allowed values, merely display them as defaults, allow customization, or persist them in a data store with referential integrity.",ambiguity,High
123,REQ-021,"There is no specification of role-based permissions for status changes. REQ-010 establishes three roles (Administrator, Project Manager, Contributor) with distinct permissions, but REQ-021 does not clarify which roles may transition tasks between which statuses, creating a potential conflict or gap.",conflict,Medium
124,REQ-021,No acceptance criteria exist for what happens to a task's status when the assignee is deactivated (per REQ-011). The system behavior in this edge case is entirely unspecified.,missing_acceptance_criteria,Medium
125,REQ-021,"There is no definition of the 'In Review' status in terms of who triggers it, what review process it implies, or what conditions must be met before transitioning out of it. This makes the status untestable beyond its mere existence in a UI dropdown.",untestable,Medium
126,REQ-021,"No audit or security requirement is stated for status changes. There is no requirement to log who changed a status and when, which is a security and compliance gap for a project management tool.",security_gap,Low
127,REQ-26/REQ-022,"The requirement ID is inconsistently labeled as both 'REQ-26' and 'REQ-022' within the same statement. It is unclear which identifier is authoritative, making traceability and cross-referencing unreliable.",ambiguity,High
128,REQ-022,"The term 'organized into subtasks' is ambiguous. It is unclear whether this means a task can be broken down into subtasks at creation time only, at any point in its lifecycle, or both. The actor permitted to perform this action (any user, Project Manager, Contributor, etc.) is also unspecified.",ambiguity,High
129,REQ-022,"No acceptance criteria are defined for what constitutes a 'level' of nesting. It is unclear whether the top-level task counts as level one (allowing one additional nesting level) or whether two levels of subtasks are permitted beneath the top-level task, resulting in three total tiers.",missing_acceptance_criteria,High
130,REQ-022,"There are no acceptance criteria specifying what behavior the system shall exhibit when a user attempts to create a subtask that would exceed the maximum nesting depth of two levels (e.g., error message, UI control disablement, silent rejection).",missing_acceptance_criteria,High
131,REQ-022,"The requirement does not specify whether subtasks inherit attributes of their parent task (e.g., assignee, due date, status, priority, project association). This omission creates ambiguity about data model behavior and makes complete testing impossible.",missing_acceptance_criteria,Medium
132,REQ-022,"There is no specification of how task status and progress roll up from subtasks to parent tasks. For example, it is unclear whether completing all subtasks automatically marks the parent task as complete, which would be critical for testable verification.",missing_acceptance_criteria,Medium
133,REQ-022,"The requirement does not define the behavior when a parent task is deleted — specifically whether subtasks are also deleted (cascade), reassigned to the grandparent level, or orphaned. This creates an untestable edge case.",untestable,High
134,REQ-022,"No minimum or maximum number of subtasks per parent task is defined, making it impossible to test boundary conditions for subtask count limits.",missing_acceptance_criteria,Medium
135,REQ-022,"The requirement does not specify which user roles are permitted to create, edit, reorder, or delete subtasks, creating a potential conflict with the role-based permission model defined in REQ-010.",conflict,High
136,REQ-022,"There is no specification of whether subtasks support the same features as top-level tasks (e.g., comments, file attachments, due dates, assignments). The absence of this boundary makes the scope of testing undefined.",missing_acceptance_criteria,Medium
137,REQ-27/REQ-023,"The requirement ID is inconsistently formatted: the section label uses 'REQ-27' while the requirement itself is identified as 'REQ-023'. This dual-ID ambiguity makes traceability unreliable and could cause confusion during testing, defect tracking, and change management.",ambiguity,High
138,REQ-023,"The notification channel is not specified. It is unclear whether the notification should be delivered via email, in-app notification, push notification, SMS, or a combination. Without this, testers cannot verify the correct delivery mechanism.",ambiguity,High
139,REQ-023,"No timing or latency requirement is defined for when the notification must be delivered after the assignment or reassignment event occurs. There is no SLA such as 'within X seconds/minutes', making it untestable for timeliness.",untestable,High
140,REQ-023,"There are no acceptance criteria defining the required content or format of the notification (e.g., task name, project name, assigner identity, due date, deep-link to the task). Without this, completeness and correctness of the notification cannot be verified.",missing_acceptance_criteria,High
141,REQ-023,"The behavior when the assignee assigns the task to themselves is not defined. It is unclear whether a self-assignment should trigger a notification, which could result in noisy or unexpected UX.",missing_acceptance_criteria,Medium
142,REQ-023,"There is no specification for what happens if the notification fails to deliver (e.g., invalid email, notification service outage). Retry logic, fallback behavior, and error handling are absent.",missing_acceptance_criteria,Medium
143,REQ-023,"The requirement does not address whether users can opt out of or configure assignment notifications. The absence of user preference controls may conflict with privacy regulations (e.g., GDPR, CAN-SPAM) and general usability expectations.",security_gap,Medium
144,REQ-023,"The behavior when a task is assigned to a deactivated user (per REQ-011) is not defined. It is unclear whether a notification attempt should be made, suppressed, or rerouted to an administrator.",missing_acceptance_criteria,Medium
145,REQ-023,"The requirement does not clarify whether bulk assignments or reassignments (e.g., reassigning multiple tasks simultaneously) should trigger individual notifications per task or a consolidated digest notification, leaving notification volume behavior ambiguous.",ambiguity,Low
